Model name   Start date   End date   Unit   Dimensions   Grid   Resolution   Data type
tas_Amon_CanESM5_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa   500 km   float32
tas_Amon_CanESM5_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa   500 km   float32
tas_Amon_CanESM5_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   T63L49 native atmosphere, T63 Linear Gaussian Grid; 128 x 64 longitude/latitude; 49 levels; top level 1 hPa   500 km   float32
tas_Amon_EC-Earth3-AerChem_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3-CC_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3-CC_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91   100 km   float32
tas_Amon_EC-Earth3-Veg-LR_ssp119_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T159L62   100 km   float32
tas_Amon_EC-Earth3-Veg-LR_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T159L62   100 km   float32
tas_Amon_EC-Earth3-Veg-LR_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T159L62   100 km   float32
tas_Amon_EC-Earth3-Veg-LR_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T159L62   100 km   float32
tas_Amon_EC-Earth3-Veg-LR_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   T159L62   100 km   float32
tas_Amon_EC-Earth3-Veg_ssp119_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91-ORCA1L75   100 km   float32
tas_Amon_EC-Earth3-Veg_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91-ORCA1L75   100 km   float32
tas_Amon_EC-Earth3-Veg_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91-ORCA1L75   100 km   float32
tas_Amon_EC-Earth3-Veg_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 256, 'lon': 512})   T255L91-ORCA1L75   100 km   float32
